chapter,abbreviated,url,file_name
1,001 - The Magic of the Economy.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/the-study-of-economics-39/the-magic-of-the-economy-139-12237/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/001 - The Magic of the Economy.html
1,002 - Is Economics a Science?.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/the-study-of-economics-39/is-economics-a-science-140-12238/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/002 - Is Economics a Science?.html
1,003 - Scarcity Leads to Tradeoffs and Choice.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/individual-decision-making-40/scarcity-leads-to-tradeoffs-and-choice-141-12239/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/003 - Scarcity Leads to Tradeoffs and Choice.html
1,004 - Individuals Face Opportunity Costs.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/individual-decision-making-40/individuals-face-opportunity-costs-142-12240/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/004 - Individuals Face Opportunity Costs.html
1,005 - Individuals Make Decisions at the Margins.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/individual-decision-making-40/individuals-make-decisions-at-the-margins-143-12241/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/005 - Individuals Make Decisions at the Margins.html
1,006 - Individuals Respond to Incentives.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/individual-decision-making-40/individuals-respond-to-incentives-144-12242/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/006 - Individuals Respond to Incentives.html
1,007 - Introducing the Firm.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/interaction-of-individuals-firms-and-societies-41/introducing-the-firm-145-12243/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/007 - Introducing the Firm.html
1,008 - Trade Leads to Gains.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/interaction-of-individuals-firms-and-societies-41/trade-leads-to-gains-146-12244/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/008 - Trade Leads to Gains.html
1,009 - Thinking about Efficiency.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/interaction-of-individuals-firms-and-societies-41/thinking-about-efficiency-147-12245/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/009 - Thinking about Efficiency.html
1,010 - The Function and Nature of Markets.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/interaction-of-individuals-firms-and-societies-41/the-function-and-nature-of-markets-148-12246/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/010 - The Function and Nature of Markets.html
1,011 - Markets are Typically Efficient.html,https://www.boundless.com/economics/textbooks/boundless-economics-textbook/principles-of-economics-1/interaction-of-individuals-firms-and-societies-41/markets-are-typically-efficient-149-12247/,/home/joebrew/Documents/health_economics/readings/boundless_economics/files/011 - Markets are Typically Efficient.html
